DriverCode,Position,QualifyingTime (s)
PIA,1.0,90.641
RUS,2.0,90.723
NOR,3.0,90.793
VER,4.0,90.817
HAM,5.0,90.927
LEC,6.0,91.021
HAD,7.0,91.079
ANT,8.0,91.103
TSU,9.0,91.638
ALB,10.0,91.706
OCO,11.0,91.625
HUL,12.0,91.632
ALO,13.0,91.688
STR,14.0,91.773
SAI,15.0,91.84
GAS,16.0,91.992
BEA,17.0,92.018
DOO,18.0,92.092
BOR,19.0,92.141
LAW,20.0,92.174
