DriverCode,Position,QualifyingTime (s)
VER,1.0,86.983
NOR,2.0,86.995
PIA,3.0,87.027
LEC,4.0,87.299
RUS,5.0,87.318
ANT,6.0,87.555
HAD,7.0,87.569
HAM,8.0,87.61
ALB,9.0,87.615
BEA,10.0,87.867
GAS,11.0,87.822
SAI,12.0,87.836
ALO,13.0,87.897
LAW,14.0,87.906
TSU,15.0,88.0
HUL,16.0,88.57
BOR,17.0,88.622
OCO,18.0,88.696
DOO,19.0,88.877
STR,20.0,89.271
